Total lessons: 113

Module: Week1 (ID: 3ff93e10-4158-4e4f-b177-d4de82d461e3)
  Lesson ID: 569d8970-592e-4e20-82e8-c8d4a4392f88 | sort_order: 0 | Title: Introduction： welcome.mp4 | Created At: 2026-05-15 12:53:55.659991

Module: Image Formation (ID: 78734657-a1d4-4711-be61-143611340ef5)
  Lesson ID: 62e1b014-e061-4c10-a58d-8e5bcece2515 | sort_order: 0 | Title: Image formation： pinhole camera： perspective projection, 3-D.temp.mp4 | Created At: 2026-05-15 13:05:28.462318
  Lesson ID: 2f42d234-9695-4ad0-8c41-fec3c2fb8736 | sort_order: 0 | Title: Image formation： pinhole camera： images.mp4 | Created At: 2026-05-15 13:05:43.872139
  Lesson ID: 1296f571-6c3a-4b32-8b65-62ca4a92caec | sort_order: 0 | Title: Image formation： pinhole camera： camera obscura.mp4 | Created At: 2026-05-15 13:05:51.086960
  Lesson ID: 9df16d2a-a767-4686-b534-7f9e686ed230 | sort_order: 0 | Title: Image formation： lenses： thin lens.mp4 | Created At: 2026-05-15 13:06:03.186247
  Lesson ID: 25a0b594-3f88-44cc-9ff9-051a46f604c1 | sort_order: 0 | Title: Image formation： lenses： exposure.mp4 | Created At: 2026-05-15 13:06:11.773018
  Lesson ID: 7101d455-48ae-447c-b993-988b686a941e | sort_order: 0 | Title: Image formation： lenses： depth of focus.mp4 | Created At: 2026-05-15 13:06:20.757364
  Lesson ID: 75938f4a-b116-4fb4-a2c8-a164b812ec13 | sort_order: 0 | Title: Image formation： artifacts： chromatic aberrations and noise.mp4 | Created At: 2026-05-15 13:06:29.339069
  Lesson ID: 602ac1e4-e59c-412a-896b-7cdd7789bf87 | sort_order: 0 | Title: Image formation： summary.mp4 | Created At: 2026-05-15 13:06:36.527660
  Lesson ID: 82fc0496-8e2c-4c72-bf18-a79b7d9dd030 | sort_order: 0 | Title: Image formation： pixels： color filter array.mp4 | Created At: 2026-05-15 13:06:43.214388

Module: Week 3 (ID: 3d972bbd-f60d-4367-84c5-32cbe9e87c15)
  Lesson ID: d0c76032-828c-42ee-8ba5-3e82c2530a1f | sort_order: 0 | Title: C5W3L01 Basic Models.mp4 | Created At: 2026-05-15 15:59:50.537001
  Lesson ID: 94bd70c4-e2b6-4307-9b6f-b3fdd613ed19 | sort_order: 0 | Title: C5W3L02 Picking the most likely sentence.mp4 | Created At: 2026-05-15 16:00:02.093034
  Lesson ID: 7d9b90bb-d402-40ab-a6a6-bf92909106af | sort_order: 0 | Title: C5W3L06 Bleu Score (Optional).mp4 | Created At: 2026-05-15 16:00:11.992236
  Lesson ID: b7461774-391a-45f0-ae86-e428d7cc7644 | sort_order: 0 | Title: C5W3L07 Attention Model Intuition.mp4 | Created At: 2026-05-15 16:00:18.968902
